Invoice Number,Customer,Invoice Date,Due Date,Balance Due
351,10X Woodway Square,2026-01-26,2026-01-26,649.50
1069,1303 Main,2026-08-04,2026-09-03,492.06
1006,22Hundred Apts,2026-07-18,2026-07-18,2020.85
1194,22Hundred Apts,2026-08-28,2026-08-28,541.25
1051,3101 Place,2026-07-31,2026-07-31,1299.00
326,36Sixty Apts,2026-01-26,2026-01-26,736.11
1041,5401 Chimney Rock,2026-07-30,2026-07-30,757.75
1042,5401 Chimney Rock,2026-07-30,2026-07-30,757.75
1043,5401 Chimney Rock,2026-07-30,2026-07-30,2273.25
1052,5401 Chimney Rock,2026-07-31,2026-07-31,2197.48
1053,5401 Chimney Rock,2026-07-31,2026-07-31,1710.35
1054,5401 Chimney Rock,2026-07-31,2026-07-31,703.63
1055,5401 Chimney Rock,2026-07-31,2026-07-31,659.24
1121,5401 Chimney Rock,2026-08-14,2026-08-14,866.00
1134,5401 Chimney Rock,2026-08-19,2026-08-19,866.00
1178,5401 Chimney Rock,2026-08-26,2026-08-26,259.80
1078,5435 S Braeswood,2026-08-04,2026-09-03,1059.59
837,625 at Prairie View Apartments,2026-06-15,2026-07-15,3878.48
965,7527 Hopwell Home,2026-07-11,2026-08-10,1892.70
1191,"7809 West Bellfort Partners, L.P./W. Bellf",2026-08-28,2026-09-27,5574.88
1102,8006 North Circle,2026-08-11,2026-09-10,8979.46
643,91Fifty Luxury Apartment Homes,2026-04-21,2026-05-21,3838.86
1138,9660 Hillcroft Ave.,2026-08-19,2026-09-18,433.00
1161,Alta Cypress Springs,2026-08-24,2026-08-24,1726.41
785,Ashford Apartments,2026-06-06,2026-07-06,958.01
1174,Aura Beacon Island,2026-08-25,2026-09-24,1892.91
359,Bay Colony CIA,2026-02-04,2026-02-04,840.36
656,Bay Colony CIA,2026-04-24,2026-04-24,627.85
1153,Bayview Apartments,2026-08-24,2026-08-24,3918.75
1154,Bayview Apartments,2026-08-31,2026-08-31,3718.75
434,Beacon Hill,2026-02-24,2026-03-26,1028.38
521,Bella Vita,2026-03-23,2026-04-22,346.40
633,Bella Vita,2026-04-21,2026-05-21,1417.41
597,Bellrock Market Station,2026-04-11,2026-04-11,4521.60
1139,Beverly Place,2026-08-19,2026-08-19,216.50
1093,Briarhurst Park HOA,2026-08-05,2026-09-04,529.80
329,Broadstone Garden Oaks,2026-01-26,2026-02-25,1266.53
358,Broadstone Garden Oaks,2026-02-04,2026-03-06,346.40
1192,Broadstone Garden Oaks,2026-08-28,2026-09-27,595.38
1088,"Building at 12605 East Freeway, LP/12605",2026-08-04,2026-09-03,216.50
1163,Capital Oaks HOA,2026-08-24,2026-08-24,1873.13
1015,Champion Townhomes on the Green,2026-07-23,2026-08-22,1732.00
1129,CIX 33Thirty Three LLC/33ThirtyThree Wes,2026-08-15,2026-08-15,15479.61
1130,CIX 33Thirty Three LLC/33Thirty Three Wes,2026-08-15,2026-08-15,4925.33
463,Clearpoint Crossing,2026-03-03,2026-03-03,449.24
1160,Cobblestone Park,2026-08-24,2026-08-24,1326.06
1173,Cobblestone Park,2026-08-25,2026-08-25,1082.50
171,Cooper Smith Court Townhomes,2025-12-06,2026-01-05,1353.13
1166,Cypress Heights,2026-08-24,2026-09-23,1187.43
1188,Derrick Corporation,2026-08-27,2026-08-27,706.96
919,Diamond Ridge,2026-06-27,2026-07-27,2381.50
1133,Dobbin Meadows,2026-08-18,2026-09-17,3167.00
